mean_RD,covered_sats,covered_suns,skill_diversity,skill_coverage,quantity_of_fav_rotas,control,size
16.0,5.0,3.0,1.0,2,0,False,2
18.0,6.0,4.0,0.75,6,2,False,3
21.0,5.0,2.0,1.0,3,0,False,2
20.0,7.0,1.0,0.875,7,0,False,2
20.5,8.0,3.0,0.8888888888888888,8,1,False,4
16.0,6.0,4.0,1.0,5,1,False,3
18.0,5.0,3.0,1.0,4,0,False,2
20.666666666666668,5.0,6.0,1.0,4,1,False,3
27.0,4.0,2.0,1.0,4,0,False,2
14.0,5.0,2.0,1.0,3,0,False,2
,0.0,0.0,1.0,5,0,False,1
,5.0,1.0,1.0,4,0,True,1
,4.0,2.0,1.0,2,0,True,1
,4.0,1.0,1.0,2,0,True,1
,4.0,1.0,1.0,1,1,True,1
,5.0,1.0,1.0,1,1,True,1
,4.0,2.0,1.0,2,0,True,1
,0.0,0.0,1.0,5,1,True,1
,3.0,2.0,1.0,2,0,True,1
,6.0,0.0,1.0,1,1,True,1
,4.0,2.0,1.0,5,0,True,1
,3.0,2.0,1.0,5,0,True,1
,5.0,1.0,1.0,4,1,True,1
,4.0,2.0,1.0,2,1,True,1
,4.0,2.0,1.0,5,1,True,1
,5.0,1.0,1.0,2,1,True,1
,5.0,1.0,1.0,4,1,True,1
,4.0,2.0,1.0,1,1,True,1
,5.0,1.0,1.0,1,0,True,1
,5.0,0.0,1.0,2,1,True,1
,5.0,1.0,1.0,4,0,True,1
,0.0,0.0,1.0,5,0,True,1
,4.0,2.0,1.0,4,0,True,1
,4.0,2.0,1.0,4,0,True,1
,6.0,0.0,1.0,5,0,True,1
,4.0,1.0,1.0,1,0,True,1
,4.0,2.0,1.0,1,1,True,1
,3.0,3.0,1.0,3,1,True,1
,4.0,1.0,1.0,2,1,True,1
,5.0,1.0,1.0,3,0,True,1
,4.0,2.0,1.0,1,1,True,1
,3.0,3.0,1.0,1,0,True,1
,5.0,1.0,1.0,3,0,True,1
,3.0,3.0,1.0,2,1,True,1
,4.0,2.0,1.0,2,0,True,1
,4.0,1.0,1.0,3,0,True,1
,5.0,1.0,1.0,3,1,True,1
,3.0,1.0,1.0,2,1,True,1
,4.0,2.0,1.0,3,0,True,1
,5.0,0.0,1.0,3,1,True,1
,4.0,2.0,1.0,1,1,True,1
,5.0,1.0,1.0,2,0,True,1
,5.0,1.0,1.0,1,1,True,1
,3.0,3.0,1.0,3,1,True,1
,6.0,0.0,1.0,4,1,True,1
,3.0,2.0,1.0,1,0,True,1
,4.0,0.0,1.0,4,0,True,1
,4.0,2.0,1.0,2,1,True,1
,4.0,2.0,1.0,5,1,True,1
,4.0,2.0,1.0,5,0,True,1
,3.0,3.0,1.0,3,1,True,1
,4.0,2.0,1.0,3,0,True,1
,6.0,0.0,1.0,1,1,True,1
,3.0,3.0,1.0,3,1,True,1
,4.0,2.0,1.0,4,0,True,1
,4.0,2.0,1.0,2,0,True,1
,3.0,3.0,1.0,2,0,True,1
,5.0,1.0,1.0,3,0,True,1
,5.0,1.0,1.0,3,0,True,1
,4.0,1.0,1.0,1,0,True,1
,4.0,0.0,1.0,5,1,True,1
,3.0,2.0,1.0,2,0,True,1
,5.0,1.0,1.0,2,1,True,1
,5.0,1.0,1.0,5,1,True,1
,4.0,1.0,1.0,2,1,True,1
,4.0,0.0,1.0,5,1,True,1
,3.0,3.0,1.0,4,0,True,1
,4.0,2.0,1.0,2,1,True,1
,4.0,2.0,1.0,2,1,True,1
,4.0,2.0,1.0,5,1,True,1
,5.0,1.0,1.0,4,0,True,1
,4.0,2.0,1.0,2,1,True,1
,6.0,0.0,1.0,4,1,True,1
,3.0,3.0,1.0,2,0,True,1
,5.0,0.0,1.0,4,0,True,1
,3.0,3.0,1.0,3,1,True,1
,5.0,1.0,1.0,4,0,True,1
,6.0,0.0,1.0,4,0,True,1
,3.0,3.0,1.0,3,0,True,1
