mean_RD,covered_sats,covered_suns,skill_diversity,skill_coverage,quantity_of_fav_rotas,control,size
20.066666666666666,8.0,10.0,0.6875,11,1,False,6
20.0,5.0,8.0,0.6666666666666666,12,2,False,5
17.466666666666665,8.0,6.0,0.5909090909090909,13,1,False,6
23.833333333333332,6.0,7.0,0.8333333333333334,10,2,False,4
17.0,5.0,4.0,1.0,5,1,False,2
22.133333333333333,9.0,5.0,0.625,10,2,False,6
12.333333333333334,7.0,6.0,0.6470588235294118,11,1,False,4
17.333333333333332,5.0,5.0,0.6923076923076923,9,1,False,4
21.0,8.0,10.0,0.75,9,2,False,6
18.8,7.0,6.0,0.6666666666666666,8,0,False,5
23.2,8.0,8.0,0.8125,13,2,False,5
16.511111111111113,12.0,9.0,0.5161290322580645,16,4,False,10
21.30909090909091,11.0,11.0,0.5416666666666666,13,7,False,11
15.466666666666667,9.0,10.0,0.5,16,1,False,10
22.4,8.0,3.0,0.8181818181818182,9,0,False,5
16.333333333333332,8.0,3.0,0.7272727272727273,8,2,False,4
18.27777777777778,11.0,7.0,0.40540540540540543,15,1,False,9
22.5,10.0,5.0,0.5833333333333334,7,0,False,4
23.833333333333332,8.0,5.0,0.8,8,0,False,4
18.166666666666668,8.0,5.0,0.5714285714285714,8,1,False,4
17.333333333333332,5.0,4.0,0.9,9,0,False,3
21.904761904761905,10.0,6.0,0.5454545454545454,12,3,False,7
20.476190476190474,9.0,7.0,0.6666666666666666,12,2,False,7
16.666666666666668,6.0,3.0,0.8181818181818182,9,0,False,3
23.794871794871796,11.0,10.0,0.4166666666666667,15,3,False,13
21.2,8.0,5.0,0.7058823529411765,12,2,False,5
18.266666666666666,6.0,8.0,0.4583333333333333,11,2,False,6
22.952380952380953,9.0,8.0,0.5714285714285714,12,2,False,7
24.19047619047619,10.0,7.0,0.625,15,2,False,7
24.666666666666668,9.0,3.0,0.7692307692307693,10,1,False,3
16.27777777777778,9.0,7.0,0.5185185185185185,14,2,False,9
22.166666666666668,7.0,5.0,0.6153846153846154,8,1,False,4
22.0,8.0,1.0,0.8,4,1,False,2
23.904761904761905,9.0,8.0,0.6923076923076923,9,2,False,7
14.166666666666666,9.0,3.0,0.7692307692307693,10,2,False,4
21.555555555555557,7.0,11.0,0.4583333333333333,11,1,False,9
19.333333333333332,7.0,3.0,0.8888888888888888,8,1,False,3
15.0,6.0,6.0,0.65,13,0,False,5
,5.0,1.0,1.0,5,0,False,1
14.0,4.0,4.0,1.0,5,1,False,2
19.238095238095237,5.0,8.0,0.7222222222222222,13,1,False,7
23.27777777777778,10.0,10.0,0.56,14,4,False,9
23.523809523809526,10.0,6.0,0.55,11,3,False,7
20.666666666666668,6.0,3.0,0.7,7,0,False,3
20.2,8.0,8.0,0.6470588235294118,11,2,False,6
18.0,6.0,2.0,0.8333333333333334,5,1,False,2
19.733333333333334,9.0,10.0,0.5,13,4,False,10
18.0,5.0,2.0,0.8,4,1,False,2
23.523809523809526,8.0,8.0,0.6111111111111112,11,3,False,7
22.22222222222222,11.0,11.0,0.45161290322580644,14,6,False,10
21.0,11.0,4.0,0.47368421052631576,9,2,False,5
22.0,7.0,1.0,0.75,6,0,False,2
18.0,4.0,5.0,0.8888888888888888,8,0,False,3
9.0,6.0,1.0,0.8,4,0,False,2
20.571428571428573,8.0,10.0,0.65,13,3,False,8
23.61111111111111,8.0,8.0,0.64,16,6,False,9
25.0,11.0,7.0,0.9,9,1,False,5
20.533333333333335,8.0,6.0,0.6,12,2,False,6
30.666666666666668,6.0,6.0,0.875,7,2,False,3
16.666666666666668,4.0,4.0,0.875,7,0,False,3
24.666666666666668,7.0,4.0,1.0,6,0,False,3
15.533333333333333,9.0,5.0,0.6111111111111112,11,3,False,6
10.333333333333334,6.0,4.0,0.75,9,2,False,4
16.8,5.0,8.0,0.8125,13,0,False,5
21.266666666666666,10.0,11.0,0.4666666666666667,14,5,False,10
23.466666666666665,9.0,6.0,0.7,14,1,False,6
19.0,8.0,7.0,0.7692307692307693,10,0,False,5
26.666666666666668,7.0,3.0,0.7777777777777778,7,0,False,3
18.857142857142858,9.0,5.0,0.7333333333333333,11,5,False,8
24.0,4.0,6.0,0.7142857142857143,5,0,False,3
20.666666666666668,7.0,4.0,0.7,7,1,False,3
24.571428571428573,11.0,8.0,0.6923076923076923,9,1,False,7
19.0,9.0,10.0,0.6190476190476191,13,4,False,8
24.8,11.0,6.0,0.7333333333333333,11,1,False,6
20.4,9.0,7.0,0.7857142857142857,11,2,False,5
22.0,5.0,3.0,1.0,4,0,False,2
20.4,8.0,5.0,0.75,9,0,False,5
17.333333333333332,6.0,5.0,0.75,9,0,False,4
22.6,7.0,5.0,0.625,10,2,False,5
21.055555555555557,11.0,10.0,0.6842105263157895,13,5,False,9
12.0,5.0,3.0,1.0,4,0,False,2
14.4,8.0,4.0,0.7222222222222222,13,0,False,5
18.19047619047619,9.0,7.0,0.6470588235294118,11,1,False,7
20.755555555555556,10.0,8.0,0.4411764705882353,15,3,False,10
16.666666666666668,4.0,4.0,1.0,7,1,False,3
14.066666666666666,7.0,6.0,0.7777777777777778,7,1,False,6
18.0,3.0,3.0,1.0,5,0,False,2
