mean_RD,covered_sats,covered_suns,skill_diversity,skill_coverage,quantity_of_fav_rotas,control,size
12.8,7.0,5.0,0.75,12,2,False,5
21.333333333333332,3.0,5.0,0.7777777777777778,7,0,False,3
19.0,11.0,4.0,0.8461538461538461,11,2,False,5
8.0,5.0,1.0,0.8888888888888888,8,1,False,2
11.0,6.0,0.0,0.75,3,0,False,2
18.0,5.0,6.0,0.75,12,1,False,4
17.904761904761905,9.0,9.0,0.47619047619047616,10,1,False,7
20.933333333333334,8.0,6.0,0.5263157894736842,10,0,False,6
24.066666666666666,11.0,5.0,0.4375,7,2,False,6
16.952380952380953,4.0,10.0,0.5217391304347826,12,1,False,7
10.4,6.0,4.0,0.8125,13,0,False,5
17.0,9.0,4.0,0.7692307692307693,10,1,False,4
18.8,8.0,9.0,0.6,12,1,False,6
21.0,6.0,2.0,1.0,6,1,False,2
13.0,4.0,5.0,0.875,7,2,False,2
22.733333333333334,8.0,11.0,0.5333333333333333,8,1,False,6
21.047619047619047,8.0,8.0,0.6190476190476191,13,3,False,7
13.5,6.0,3.0,0.8571428571428571,6,2,False,4
16.0,9.0,6.0,0.5555555555555556,10,2,False,5
19.5,9.0,6.0,0.5833333333333334,14,3,False,8
18.0,4.0,7.0,0.5294117647058824,9,1,False,5
8.0,6.0,1.0,0.875,7,2,False,2
18.666666666666668,5.0,4.0,0.7777777777777778,7,0,False,3
15.5,5.0,4.0,0.7857142857142857,11,1,False,4
13.466666666666667,9.0,6.0,0.5714285714285714,12,2,False,6
9.0,6.0,2.0,0.8571428571428571,6,0,False,2
12.0,5.0,4.0,0.8333333333333334,10,2,False,3
25.733333333333334,13.0,4.0,0.5294117647058824,9,2,False,6
16.666666666666668,3.0,5.0,0.8571428571428571,6,1,False,3
19.8,8.0,6.0,0.8333333333333334,10,2,False,5
26.0,4.0,4.0,1.0,8,0,False,2
18.0,4.0,1.0,0.8333333333333334,5,2,False,2
13.6,8.0,5.0,0.5789473684210527,11,2,False,5
,3.0,2.0,1.0,4,0,False,1
27.333333333333332,9.0,6.0,0.6363636363636364,7,1,False,4
20.0,9.0,3.0,0.75,6,2,False,5
17.2,7.0,8.0,0.5882352941176471,10,2,False,5
15.0,3.0,5.0,1.0,6,1,False,2
16.571428571428573,9.0,7.0,0.48148148148148145,13,1,False,7
10.0,7.0,3.0,0.5833333333333334,7,1,False,3
20.0,6.0,2.0,1.0,4,1,False,2
18.0,6.0,6.0,0.7692307692307693,10,2,False,4
