rota_choice,skill_count,mean_working_days,mean_working_weekends,popularity,lin_regr_coeff
4,4,62.3,6.0,0.0289256198,0.000
4,2,62.8,5.5,0.1198347107,0.227
1,5,65.0,6.0,0.0000000000,0.000
1,3,65.0,6.0,0.0000000000,0.000
1,2,54.0,6.0,0.0000000000,0.000
2,4,65.5,6.0,0.0000000000,0.000
4,5,65.3,5.5,0.0743801653,0.000
4,3,53.8,5.8,0.0330578512,0.000
1,2,52.0,5.0,0.0000000000,0.000
4,1,64.5,5.5,0.0371900826,0.000
3,4,57.7,5.0,0.0000000000,0.000
4,3,58.5,6.0,0.0123966942,0.000
4,1,64.0,5.8,0.0206611570,0.000
2,1,64.0,5.0,0.0000000000,0.000
1,1,64.0,5.0,0.0000000000,0.000
2,4,53.5,6.0,0.0000000000,0.000
2,1,59.0,6.0,0.0082644628,0.000
4,5,63.0,6.0,0.0785123967,1.250
1,2,66.0,6.0,0.0000000000,0.000
3,5,62.3,3.3,0.0165289256,0.000
1,4,52.0,6.0,0.0000000000,0.000
4,2,64.8,5.5,0.0330578512,0.000
3,4,61.3,6.0,0.0082644628,0.000
1,2,64.0,5.0,0.0000000000,0.000
3,5,56.7,4.0,0.0165289256,0.000
2,4,65.0,5.5,0.0000000000,0.000
4,3,55.3,4.0,0.0247933884,0.000
1,3,52.0,6.0,0.0000000000,0.000
4,4,65.0,5.5,0.0537190083,0.000
4,2,63.8,5.8,0.0082644628,0.000
1,1,51.0,4.0,0.0000000000,0.000
3,5,62.3,5.3,0.0743801653,0.524
2,4,61.5,6.0,0.0041322314,1.006
3,2,54.0,5.7,0.0000000000,0.000
2,2,62.0,3.0,0.0000000000,0.000
1,5,53.0,6.0,0.0000000000,0.000
1,3,64.0,5.0,0.0000000000,0.000
4,5,64.0,5.0,0.0413223140,0.000
1,4,63.0,4.0,0.0000000000,0.000
1,3,59.0,6.0,0.0000000000,0.000
4,4,60.8,5.8,0.0454545455,1.183
4,1,56.5,5.5,0.0165289256,0.000
1,2,65.0,6.0,0.0000000000,0.000
3,3,61.3,5.3,0.0413223140,1.527
4,1,64.3,3.8,0.0165289256,0.000
4,3,66.0,5.8,0.0247933884,0.000
3,5,54.0,6.0,0.0289256198,0.301
4,1,58.8,5.8,0.0330578512,0.000
2,5,64.0,5.0,0.0000000000,0.000
4,2,63.5,6.0,0.0041322314,0.410
2,4,52.0,5.0,0.0000000000,1.172
2,5,65.0,3.0,0.0000000000,0.624
2,5,59.0,6.0,0.0082644628,0.000
1,5,58.0,6.0,0.0000000000,0.000
4,1,63.0,4.3,0.0123966942,0.000
1,2,50.0,4.0,0.0000000000,0.000
4,5,56.0,6.0,0.1033057851,0.463
4,1,63.3,5.8,0.0165289256,0.000
3,2,65.0,4.0,0.0041322314,0.000
4,3,51.5,5.0,0.0165289256,0.000
2,2,65.0,5.5,0.0000000000,0.000
3,3,56.7,5.7,0.0537190083,0.350
2,2,62.5,6.0,0.0082644628,0.246
4,4,62.3,5.8,0.0454545455,0.000
4,3,62.0,5.5,0.0289256198,0.000
3,4,59.7,5.0,0.0082644628,0.340
4,2,63.5,5.5,0.0165289256,0.000
4,5,61.5,5.5,0.0495867769,1.021
1,4,52.0,6.0,0.0000000000,0.000
4,4,55.8,5.5,0.0289256198,0.000
2,5,58.5,6.0,0.0123966942,1.794
4,1,62.3,6.0,0.0082644628,0.000
3,4,57.0,6.0,0.0000000000,0.000
1,2,66.0,6.0,0.0000000000,0.000
3,4,66.3,6.0,0.0041322314,0.000
