SKILL_0,SKILL_1,SKILL_2,SKILL_3,SKILL_4,SKILL_5,SKILL_6,SKILL_7,SKILL_8,SKILL_9,SKILL_10,SKILL_11,SKILL_12,SKILL_13,SKILL_14,SKILL_15,SKILL_16,SKILL_17,rota_counts,skill_counts,variable_importance
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0.05
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0.09
0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,5,0.0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.01
0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0.0
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,5,0.08
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0.03
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.04
0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0.05
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0.11
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0.05
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.0
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0.0
0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,4,5,0.05
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0.0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,3,5,0.02
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,2,0.14
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,4,0.04
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.01
0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,3,5,0.02
